District/Year,Population Rural Total,Population Rural Males,Population Rural Females,Population Urban Total,Population Urban Males,Population Urban Females,Rural Population as percentage to Total Population
Ambala,627576,331703,295873,500774,267000,233774,55.62
Panchkula,248063,133153,114910,313230,166526,146704,44.19
Yamunanagar,741376,393957,347419,472829,252761,220068,61.06
Kurukshetra,685430,361020,324410,279225,149956,129269,71.05
Kaithal,838293,445931,392362,236011,125072,110939,78.03
Karnal,1050514,557110,493404,454810,240602,214208,69.79
Panipat,650352,349642,300710,555085,297215,257870,53.95
Sonipat,996637,538750,457887,453364,242549,210815,68.73
Rohtak,615040,332034,283006,446164,236445,209719,57.96
Jhajjar,715066,384219,330847,243339,130448,112891,74.61
Faridabad,370878,198103,172775,1438855,768007,670848,20.49
Palwal,806164,428907,377257,236544,125590,110954,77.31
Gurgaon,472179,251462,220717,1042253,565228,477025,31.18
Mewat,965157,506086,459071,124106,65076,59030,88.61
Rewari,666902,349710,317192,233430,124625,108805,74.07
Mahendragarh,789233,416358,372875,132855,70307,62548,85.59
Bhiwani,1313123,696212,616911,321322,170460,150862,80.34
Jind,1028569,550519,478050,305583,162487,143096,77.10
Hisar,1190443,634139,556304,553488,297423,256065,68.26
Fatehabad,762423,400814,361609,179588,94546,85042,80.94
Sirsa,975941,514177,461764,319248,168405,150843,75.35
Total 2011,16509359,8774006,7735353,8842103,4720728,4121375,65.12
2001,15029260,8052988,6976272,6115304,3310965,2804339,71.08
