Sl. No.,India/State/UT,Projected Population by Age Group - Scheduled Tribes (ST) - Age 3-5 - Boys,Projected Population by Age Group - Scheduled Tribes (ST) - Age 3-5 - Girls,Projected Population by Age Group - Scheduled Tribes (ST) - Age 3-5 - Total,Projected Population by Age Group - Scheduled Tribes (ST) - Age 6-10 - Boys,Projected Population by Age Group - Scheduled Tribes (ST) - Age 6-10 - Girls,Projected Population by Age Group - Scheduled Tribes (ST) - Age 6-10 - Total,Projected Population by Age Group - Scheduled Tribes (ST) - Age 11-13 - Boys,Projected Population by Age Group - Scheduled Tribes (ST) - Age 11-13 - Girls,Projected Population by Age Group - Scheduled Tribes (ST) - Age 11-13 - Total,Projected Population by Age Group - Scheduled Tribes (ST) - Age 6-13 - Boys,Projected Population by Age Group - Scheduled Tribes (ST) - Age 6-13 - Girls,Projected Population by Age Group - Scheduled Tribes (ST) - Age 6-13 - Total,Projected Population by Age Group - Scheduled Tribes (ST) - Age 14-15 - Boys,Projected Population by Age Group - Scheduled Tribes (ST) - Age 14-15 - Girls,Projected Population by Age Group - Scheduled Tribes (ST) - Age 14-15 - Total,Projected Population by Age Group - Scheduled Tribes (ST) - Age 16-17 - Boys,Projected Population by Age Group - Scheduled Tribes (ST) - Age 16-17 - Girls,Projected Population by Age Group - Scheduled Tribes (ST) - Age 16-17 - Total
1,India,4298684,4046403,8345087,6010831,5642681,11653509,3480648,3303102,6783753,9491480,8945785,18437262,2293964,2173185,4467150,2191363,2119602,4310962
2,Andaman and Nicobar Islands,1257,1181,2438,1556,1311,2867,922,786,1708,2478,2097,4575,726,632,1358,683,609,1292
3,Andhra Pradesh,83119,77457,160576,127053,116210,243263,72068,66889,138957,199121,183100,382220,47171,44580,91751,44319,41857,86175
4,Arunachal Pradesh,31378,29687,61065,46718,44527,91244,32252,32132,64384,78970,76659,155628,23918,23973,47891,22715,23057,45772
5,Assam,133862,122250,256112,191371,176146,367517,124684,119759,244444,316055,295906,611961,89378,89306,178684,89817,94055,183872
6,Bihar,67520,63170,130690,92546,85991,178538,54634,52895,107529,147180,138886,286066,36179,35323,71502,34996,34849,69845
7,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Chhattisgarh,334908,323888,658796,473861,452397,926258,259524,253497,513021,733385,705894,1439279,170067,164915,334982,159695,159421,319116
9,Dadra and Nagar Haveli and Daman and Diu ,10743,10097,20840,16211,14448,30659,10390,9382,19772,26601,23830,50431,6340,5466,11807,5846,5171,11017
10,Delhi,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Goa,5077,4695,9772,7697,6942,14640,5053,4474,9527,12750,11417,24167,3450,2967,6417,3315,3210,6524
12,Gujarat,402420,368084,770504,526883,487197,1014080,297813,278514,576327,824696,765710,1590407,191684,178319,370003,178521,164827,343348
13,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Himachal Pradesh,10645,10135,20780,15663,14439,30102,10259,9577,19836,25922,24016,49938,7002,6656,13658,7149,6920,14069
15,Jammu and Kashmir,43592,42998,86590,63815,61683,125497,49919,44060,93979,113734,105742,219476,33196,27393,60589,31153,25142,56295
