state,age_0_5,age_5_17,age_18_greater,total_enrolment,demo_age_5_17,demo_age_17_,total_demo_updates,bio_age_5_17,bio_age_17_,total_bio_updates,total_updates,biometric_update_ratio,update_to_enrolment_ratio,child_enrolment_share,adult_update_concentration,avg_monthly_growth_rate,growth_volatility,total_activity,service_load_index,load_category
Uttar Pradesh,511727.0,473205.0,17699.0,1002631.0,449185.0,4479149.0,4928334.0,6076420.0,3290663.0,9367083.0,14295417.0,0.655250770229368,14.25790445338315,0.9823474438751645,0.543517688221337,1.3317479323977914,3.2563136116368656,15298048.0,100.0,High
Bihar,254911.0,327043.0,11799.0,593753.0,217554.0,2517095.0,2734649.0,2160544.0,2618424.0,4778968.0,7513617.0,0.6360409374073765,12.654448903837118,0.9801281004053874,0.6834949133020755,1.4816453092401884,3.7971886624301328,8107370.0,52.99610773871281,High
Madhya Pradesh,363244.0,115172.0,9476.0,487892.0,211184.0,1340591.0,1551775.0,3148670.0,2671066.0,5819736.0,7371511.0,0.789490241552919,15.10889910062063,0.9805776688283473,0.5442109494240733,3.8721707823749605,10.220496019056226,7859403.0,51.375201594347196,High
West Bengal,270390.0,90321.0,8495.0,369206.0,130316.0,1972977.0,2103293.0,1023415.0,1458618.0,2482033.0,4585326.0,0.5412991355467419,12.41942438638592,0.9769911648239736,0.7483862652295605,4.520741840298739,11.243622095407572,4954532.0,32.386694040965224,Medium
Maharashtra,274274.0,81069.0,8103.0,363446.0,152852.0,2818179.0,2971031.0,3437083.0,5583627.0,9020710.0,11991741.0,0.7522435649669218,32.99456040237064,0.9777050786086516,0.7006327104629761,2.9698550866604982,7.2810927512438015,12355187.0,80.7631601103618,High
Rajasthan,224977.0,110131.0,5483.0,340591.0,141252.0,1418123.0,1559375.0,2032783.0,1895214.0,3927997.0,5487372.0,0.7158248064829575,16.11132413951044,0.9839015123711431,0.6038112597432796,20.54736802945911,59.12925535173559,5827963.0,38.09612180586699,Medium
Gujarat,188709.0,70270.0,16063.0,275042.0,114011.0,884606.0,998617.0,1437932.0,1709956.0,3147888.0,4146505.0,0.7591665752241948,15.075897499291017,0.9415980104856713,0.6257226266458138,2.631479139394203,6.694528519631955,4421547.0,28.90268745398106,Medium
Assam,137970.0,64834.0,22555.0,225359.0,47859.0,530548.0,578407.0,574106.0,371044.0,945150.0,1523557.0,0.6203574923681884,6.760577567348098,0.8999152463402837,0.5917678170229272,1.3182414370163094,3.2935300251891158,1748916.0,11.43228207938686,Low
Karnataka,176178.0,33402.0,10038.0,219618.0,144471.0,791366.0,935837.0,1228292.0,1373795.0,2602087.0,3537924.0,0.7354841426780224,16.10944458104527,0.9542933639319181,0.6119862947875647,1.741031157974025,4.0126421968447445,3757542.0,24.5622317304796,Medium
Tamil Nadu,178294.0,36214.0,1202.0,215710.0,182848.0,1095258.0,1278106.0,2153302.0,2418849.0,4572151.0,5850257.0,0.7815299396248746,27.12093551527514,0.9944277038616661,0.6006756626247359,10.404976306051276,25.538808001049336,6065967.0,39.65190199429365,Medium
Jharkhand,96048.0,56152.0,1412.0,153612.0,58516.0,749530.0,808046.0,863801.0,1132139.0,1995940.0,2803986.0,0.7118223842772397,18.253691117881417,0.9908080097909018,0.6710693277355878,8.933731939486432,23.249500503516536,2957598.0,19.333172441346765,Low
Telangana,103768.0,24035.0,1145.0,128948.0,137145.0,784611.0,921756.0,909878.0,768399.0,1678277.0,2600033.0,0.6454829611778005,20.16342246486956,0.9911204516549307,0.5973039572959267,1.1252659043839588,2.0248883728510756,2728981.0,17.83875302260785,Low
Andhra Pradesh,109389.0,13414.0,1465.0,124268.0,174570.0,1078399.0,1252969.0,2181549.0,1429187.0,3610736.0,4863705.0,0.7423838411252327,39.13883702964561,0.9882109634016802,0.5155711540893207,7.57844309778424,15.57126230588463,4987973.0,32.60529055733124,Medium
Odisha,97061.0,22204.0,726.0,119991.0,86049.0,555022.0,641071.0,1187181.0,1235875.0,2423056.0,3064127.0,0.7907818442251251,25.53630688968339,0.9939495462159662,0.5844721840837537,16.609136286645416,40.59379568876483,3184118.0,20.813884228889854,Medium
Meghalaya,21072.0,53089.0,35078.0,109239.0,4588.0,42743.0,47331.0,35911.0,50663.0,86574.0,133905.0,0.6465329898062059,1.2257984785653475,0.6788875767811862,0.69755423621224,1.921885516718942,6.302632532325851,243144.0,1.5893792462933833,Low
Chhattisgarh,79653.0,18158.0,1962.0,99773.0,88866.0,979711.0,1068577.0,839392.0,1719714.0,2559106.0,3627683.0,0.7054381543260533,36.35936576027583,0.9803353612700831,0.7441182154008495,1.4457670180735531,2.429268857547904,3727456.0,24.36556611667057,Medium
Haryana,85112.0,8897.0,1076.0,95085.0,73333.0,548670.0,622003.0,676864.0,923400.0,1600264.0,2222267.0,0.7201042898985586,23.371372982068674,0.9886838092233265,0.6624181522742316,1.5843886557787326,3.500377647074058,2317352.0,15.14802411392617,Low
Delhi,67844.0,21971.0,3023.0,92838.0,80333.0,605797.0,686130.0,545395.0,736549.0,1281944.0,1968074.0,0.6513698163788557,21.199013335056765,0.967437902582994,0.6820607355211237,1.837034520062906,5.006369199274525,2060912.0,13.471731818333947,Low
Punjab,60481.0,12175.0,3117.0,75773.0,29194.0,441886.0,471080.0,689963.0,1027882.0,1717845.0,2188925.0,0.7847893372317462,28.88792841777414,0.95886397529463,0.6714565368845438,3.7181864899390527,10.257902001954243,2264698.0,14.803836411024465,Low
Kerala,52950.0,18360.0,2640.0,73950.0,35555.0,403417.0,438972.0,637862.0,947907.0,1585769.0,2024741.0,0.7831959742011447,27.379864773495605,0.9643002028397566,0.6674058558600828,5.859337209395491,15.13067129253992,2098691.0,13.718684893654407,Low
Jammu & Kashmir,38736.0,7458.0,485.0,46679.0,31288.0,188832.0,220120.0,406708.0,364878.0,771586.0,991706.0,0.7780390559298824,21.245228046873326,0.9896098888150988,0.5583408792525204,7.257707074376803,17.644326973693722,1038385.0,6.78769605115633,Low
Uttarakhand,31208.0,5410.0,338.0,36956.0,26287.0,222552.0,248839.0,408293.0,332501.0,740794.0,989633.0,0.7485542620345118,26.77868275787423,0.9908539885268969,0.560867513512585,1.3678378074562407,2.65530491381252,1026589.0,6.710588174386693,Low
Himachal Pradesh,16081.0,650.0,178.0,16909.0,11669.0,75572.0,87241.0,184098.0,201166.0,385264.0,472505.0,0.8153649167733675,27.94399432255012,0.9894730616831273,0.5856826911884531,8.078337182969777,18.23401971680984,489414.0,3.199192472137622,Low
Nagaland,4453.0,9856.0,1120.0,15429.0,2484.0,18688.0,21172.0,32005.0,76266.0,108271.0,129443.0,0.83643765981938,8.3895910298788,0.9274094238123015,0.7335584002224917,0.28379305878820926,1.7907486884427015,144872.0,0.9469966364336156,Low
Manipur,5044.0,7895.0,260.0,13199.0,25361.0,158471.0,183832.0,162366.0,113534.0,275900.0,459732.0,0.6001322509636049,34.83082051670581,0.9803015379953027,0.5916599236076671,0.33701062616793764,0.8362541515957145,472931.0,3.091446699605074,Low
Tripura,7165.0,3597.0,246.0,11008.0,7149.0,74241.0,81390.0,144132.0,141192.0,285324.0,366714.0,0.778055923689851,33.313408430232556,0.9776526162790697,0.5874687085848918,0.8863030688642206,1.7292954854040004,377722.0,2.4690862520499346,Low
Mizoram,4044.0,1259.0,471.0,5774.0,3146.0,21663.0,24809.0,84746.0,34414.0,119160.0,143969.0,0.8276781807194604,24.934014547973675,0.9184274333217873,0.3895074634122624,0.2334869393577348,0.8188340068590539,149743.0,0.9788373000267747,Low
Arunachal Pradesh,1914.0,2176.0,150.0,4240.0,3437.0,18597.0,22034.0,41143.0,28916.0,70059.0,92093.0,0.7607418587731967,21.72004716981132,0.964622641509434,0.5159241201828586,0.31111286718702647,1.3411446183788853,96333.0,0.6297077901703537,Low
Puducherry,2713.0,193.0,44.0,2950.0,2754.0,16404.0,19158.0,26519.0,41966.0,68485.0,87643.0,0.7814086692605228,29.70949152542373,0.9850847457627119,0.6659972844380042,-0.116367488772262,0.49648549099858247,90593.0,0.5921866632919442,Low
Chandigarh,2377.0,210.0,33.0,2620.0,5792.0,34373.0,40165.0,48687.0,24865.0,73552.0,113717.0,0.6467986316909521,43.403435114503814,0.9874045801526717,0.5209247517961255,1.2140589247024047,2.870125308351913,116337.0,0.7604695710197797,Low
Goa,1871.0,253.0,156.0,2280.0,2101.0,19903.0,22004.0,33143.0,33411.0,66554.0,88558.0,0.7515300706881366,38.84122807017544,0.9315789473684211,0.6020235326001039,3.845932100805377,8.9077755461102,90838.0,0.5937881748050471,Low
Sikkim,1040.0,1030.0,105.0,2175.0,866.0,10676.0,11542.0,11801.0,10775.0,22576.0,34118.0,0.6617034996189695,15.686436781609196,0.9517241379310345,0.628729702796178,0.18843162494686513,0.8132931857031523,36293.0,0.23723941773486396,Low
Jammu And Kashmir,569.0,344.0,37.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9610526315789474,0.0,0.0,0.0,950.0,0.0062099426018273705,Low
Dadra and Nagar Haveli,664.0,70.0,4.0,738.0,764.0,3062.0,3826.0,10692.0,16305.0,26997.0,30823.0,0.875871913830581,41.765582655826556,0.994579945799458,0.62832949420887,-0.14009305371886616,0.49709252903238316,31561.0,0.2063073667960775,Low
The Dadra And Nagar Haveli And Daman And Diu,548.0,141.0,27.0,716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9622905027932961,0.0,0.43775100401606426,0.6190734068219572,716.0,0.004680335687271997,Low
Ladakh,466.0,133.0,18.0,617.0,865.0,2810.0,3675.0,2752.0,2907.0,5659.0,9334.0,0.6062781229912149,15.128038897893031,0.9708265802269044,0.6124919648596528,0.02653476763303352,0.3874859217438991,9951.0,0.06504751455872018,Low
Andaman and Nicobar Islands,363.0,27.0,0.0,390.0,383.0,3367.0,3750.0,10972.0,6761.0,17733.0,21483.0,0.8254433738304706,55.08461538461538,1.0,0.471442535958665,-0.004316875653082534,0.4365781611673395,21873.0,0.1429790258208106,Low
Lakshadweep,188.0,10.0,1.0,199.0,94.0,587.0,681.0,2195.0,2550.0,4745.0,5426.0,0.8744931809804645,27.266331658291456,0.9949748743718593,0.5781422779211205,-0.07265625,0.4984570920914357,5625.0,0.03676939698450417,Low
Dadra and Nagar Haveli and Daman and Diu,130.0,20.0,19.0,169.0,178.0,2013.0,2191.0,747.0,1760.0,2507.0,4698.0,0.5336313324819072,27.798816568047336,0.8875739644970414,0.803107705406556,0.32112663906142164,1.353907930018649,4867.0,0.03181451646641454,Low
Daman and Diu,100.0,13.0,0.0,113.0,129.0,675.0,804.0,4178.0,2529.0,6707.0,7511.0,0.8929569964052723,66.46902654867256,1.0,0.4265743576088404,0.047105911330049266,0.46185426821226155,7624.0,0.04983642357508618,Low
Andaman & Nicobar Islands,106.0,5.0,0.0,111.0,7.0,617.0,624.0,382.0,1879.0,2261.0,2885.0,0.7837088388214904,25.99099099099099,1.0,0.8651646447140381,-0.05231173864894796,0.35382887431244964,2996.0,0.019584197931657686,Low
Dadra & Nagar Haveli,22.0,3.0,0.0,25.0,17.0,128.0,145.0,69.0,457.0,526.0,671.0,0.7839046199701938,26.84,1.0,0.8718330849478391,-0.09659090909090909,0.8021096065604993,696.0,0.004549600053549316,Low
Daman & Diu,20.0,1.0,0.0,21.0,20.0,380.0,400.0,528.0,1627.0,2155.0,2555.0,0.8434442270058709,121.66666666666667,1.0,0.785518590998043,0.08333333333333334,0.6871842709362768,2576.0,0.016838749623481374,Low
West  Bengal,9.0,6.0,0.0,15.0,5.0,53.0,58.0,5.0,19.0,24.0,82.0,0.2926829268292683,5.466666666666667,1.0,0.8780487804878049,-0.4444444444444445,0.4194352464039306,97.0,0.0006340678235550052,Low
West Bangal,7.0,3.0,0.0,10.0,3.0,89.0,92.0,14.0,36.0,50.0,142.0,0.352112676056338,14.2,1.0,0.8802816901408451,0.020833333333333343,0.7083333333333334,152.0,0.0009935908162923793,Low
West bengal,6.0,1.0,0.0,7.0,0.0,34.0,34.0,5.0,14.0,19.0,53.0,0.3584905660377358,7.571428571428571,1.0,0.9056603773584906,0.05555555555555556,0.41943524640393054,60.0,0.0003922069011680444,Low
Westbengal,3.0,3.0,0.0,6.0,0.0,50.0,50.0,2.0,17.0,19.0,69.0,0.2753623188405797,11.5,1.0,0.9710144927536232,-0.125,0.25,75.0,0.0004902586264600555,Low
andhra pradesh,5.0,0.0,0.0,5.0,2.0,35.0,37.0,18.0,22.0,40.0,77.0,0.5194805194805194,15.4,1.0,0.7402597402597403,-0.16666666666666666,0.2886751345948129,82.0,0.0005360160982629941,Low
WEST BENGAL,3.0,1.0,0.0,4.0,1.0,39.0,40.0,7.0,27.0,34.0,74.0,0.4594594594594595,18.5,1.0,0.8918918918918919,1.0,1.4142135623730951,78.0,0.0005098689715184578,Low
WESTBENGAL,1.0,0.0,0.0,1.0,0.0,34.0,34.0,5.0,7.0,12.0,46.0,0.2608695652173913,46.0,1.0,0.8913043478260869,0.0,0.0,47.0,0.00030722873924830146,Low
Jaipur,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.536781686134074e-06,Low
Chhatisgarh,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,5.0,6.0,0.8333333333333334,0.0,0.0,0.6666666666666666,0.0,0.0,6.0,3.922069011680444e-05,Low
BALANAGAR,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.536781686134074e-06,Low
Madanapalle,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.536781686134074e-06,Low
Tamilnadu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.536781686134074e-06,Low
Nagpur,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.536781686134074e-06,Low
Raja Annamalai Puram,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.536781686134074e-06,Low
Uttaranchal,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,2.0,5.0,0.4,0.0,0.0,1.0,0.0,0.0,5.0,3.268390843067037e-05,Low
West Bengli,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.536781686134074e-06,Low
odisha,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,15.0,15.0,25.0,0.6,0.0,0.0,1.0,0.0,0.0,25.0,0.00016341954215335185,Low
west Bengal,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1.0,0.0,1.0,9.0,0.1111111111111111,0.0,0.0,0.8888888888888888,0.0,0.0,9.0,5.883103517520667e-05,Low
